zmin,zmax,bestlogpsi,logpsierrlower,logpsierrupper
0.01,0.1,-1.82,0.02,0.02
0.2,0.4,-1.5,0.06,0.05
0.4,0.6,-1.36,0.05,0.05
0.6,0.8,-1.2,0.05,0.05
0.8,1.2,-1.25,0.33,0.33
0.05,0.2,-1.77,0.08,0.08
0.05,1.57,-1.75,0.18,0.15
0.2,0.4,-1.55,0.16,0.16
0.4,0.6,-1.44,0.1,0.1
0.6,0.8,-1.24,0.16,0.16
0.8,1.0,-0.99,0.06,0.06
1.0,1.2,-0.94,0.09,0.09
1.2,1.7,-0.95,0.15,0.15
1.7,2.5,-0.75,0.49,0.49
2.5,3.5,-1.04,0.26,0.26
3.5,4.5,-1.69,0.32,0.32
0.95,1.33,-1.02,0.2,0.2
1.62,1.88,-0.78,0.05,0.05
2.08,2.37,-0.87,0.09,0.09
1.9,2.7,-0.75,0.09,0.09
2.7,3.4,-0.97,0.11,0.11
3.8,3.8,-1.29,0.05,0.05
4.9,4.9,-1.42,0.05,0.06
5.9,5.9,-1.66,0.06,0.06
7.0,7.0,-1.79,0.08,0.08
7.0,7.0,-2.09,0.1,0.1
7.0,7.0,-2.0,0.1,0.1
8.0,8.0,-2.21,0.14,0.14
0.03,0.03,1.72,0.02,0.02
0.03,0.7,-1.95,0.2,0.2
0.4,0.7,-1.34,0.22,0.22
0.7,1.0,-0.96,0.15,0.15
1.0,1.3,-0.89,0.24,0.24
1.0,1.8,-0.91,0.11,0.11
1.8,2.3,-0.89,0.25,0.21
0.4,0.7,-1.22,0.1,0.1
0.7,1.0,-1.1,0.13,0.13
0.0,1.0,-0.96,0.13,0.13
1.3,1.8,-0.94,0.13,0.13
1.8,2.3,-0.8,0.18,0.18
0.0,0.3,-1.64,0.11,0.11
0.3,0.45,-1.42,0.04,0.04
0.45,0.6,-1.34,0.04,0.04
0.6,0.8,-1.14,0.05,0.05
0.8,1.0,-0.94,0.04,0.04
1.0,1.2,-0.81,0.04,0.04
1.2,1.7,-0.84,0.04,0.04
1.7,2.0,-0.86,0.03,0.03
2.0,2.5,-0.91,0.02,0.02
2.5,3.0,-0.86,0.25,0.25
3.0,4.2,-1.36,0.5,0.5
